Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Jimmy Butler\butleji01,30,58,58,33.8,5.9,13.1,.455,0.5,2.1,.244,5.4,11.0,.495,.474,7.6,9.1,.834,1.8,4.8,6.7,6.0,1.8,0.6,2.2,1.4,19.9
2,Bam Adebayo\adebaba01,22,72,72,33.6,6.1,11.0,.557,0.0,0.2,.143,6.1,10.8,.564,.558,3.7,5.3,.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9
3,Justise Winslow\winslju01,23,11,5,32.0,4.5,11.7,.388,0.5,2.5,.222,4.0,9.3,.431,.411,1.6,2.5,.667,1.5,5.2,6.6,4.0,0.6,0.5,2.2,3.5,11.3
4,Duncan Robinson\robindu01,25,73,68,29.7,4.4,9.4,.470,3.7,8.3,.446,0.7,1.1,.654,.667,0.9,1.0,.931,0.1,3.0,3.2,1.4,0.5,0.3,1.0,2.6,13.5
5,Kendrick Nunn\nunnke01,24,67,67,29.3,6.0,13.6,.439,2.0,5.8,.350,3.9,7.8,.505,.514,1.3,1.5,.850,0.3,2.4,2.7,3.3,0.8,0.2,1.7,2.3,15.3
6,Goran Dragić\dragigo01,33,59,3,28.2,5.4,12.3,.441,2.1,5.7,.367,3.3,6.5,.505,.526,3.2,4.2,.776,0.5,2.7,3.2,5.1,0.7,0.2,2.4,2.1,16.2
7,Jae Crowder\crowdja01,29,20,8,27.7,4.0,8.2,.482,2.9,6.4,.445,1.1,1.8,.611,.655,1.1,1.5,.733,0.6,4.8,5.4,1.8,1.3,0.5,0.8,2.9,11.9
8,Tyler Herro\herroty01,20,55,8,27.4,4.9,11.5,.428,2.1,5.4,.389,2.8,6.1,.462,.520,1.6,1.8,.870,0.3,3.8,4.1,2.2,0.6,0.2,1.6,1.4,13.5
9,Derrick Jones\jonesde02,22,59,16,23.3,3.1,5.9,.527,0.6,2.2,.280,2.5,3.7,.677,.580,1.6,2.1,.772,1.1,2.8,3.9,1.1,1.0,0.6,0.5,2.2,8.5
10,Meyers Leonard\leoname01,27,51,49,20.3,2.3,4.6,.509,1.0,2.5,.414,1.3,2.1,.623,.622,0.4,0.5,.643,0.6,4.5,5.1,1.1,0.3,0.3,0.8,2.1,6.1
11,Andre Iguodala\iguodan01,36,21,0,19.9,1.8,4.2,.432,0.7,2.2,.298,1.1,2.0,.585,.511,0.3,0.7,.400,0.8,2.9,3.7,2.4,0.7,1.0,1.2,1.7,4.6
12,Kelly Olynyk\olynyke01,28,67,9,19.4,2.7,5.9,.462,1.4,3.5,.406,1.3,2.4,.543,.582,1.3,1.5,.860,0.7,3.9,4.6,1.7,0.7,0.3,1.1,2.6,8.2
13,Solomon Hill\hillso01,28,11,1,17.0,1.3,4.1,.311,0.6,2.2,.292,0.6,1.9,.333,.389,1.3,1.5,.875,0.5,1.5,1.9,0.9,1.1,0.5,1.0,1.1,4.5
14,James Johnson\johnsja01,32,18,0,15.6,2.2,4.8,.448,0.9,2.5,.356,1.3,2.3,.548,.540,0.4,0.8,.571,0.4,2.4,2.9,1.2,0.3,0.7,0.8,1.9,5.7
15,Dion Waiters\waitedi01,28,3,0,14.0,3.3,8.7,.385,2.7,5.7,.471,0.7,3.0,.222,.538,0.0,0.3,.000,0.0,3.7,3.7,1.0,0.0,0.7,1.0,1.7,9.3
16,Udonis Haslem\hasleud01,39,4,1,11.0,1.0,2.8,.364,0.3,0.8,.333,0.8,2.0,.375,.409,0.8,1.0,.750,0.3,3.8,4.0,0.3,0.0,0.0,0.3,1.5,3.0
17,Gabe Vincent\vincega01,23,9,0,9.2,0.9,4.1,.216,0.7,3.0,.222,0.2,1.1,.200,.297,0.0,0.0,,0.0,0.6,0.6,0.7,0.6,0.0,0.1,0.7,2.4
18,Chris Silva\silvach01,23,44,0,7.9,1.1,1.8,.615,0.0,0.1,.000,1.1,1.7,.640,.615,0.8,1.3,.673,1.4,1.5,2.9,0.5,0.2,0.5,0.7,1.9,3.0
19,Kyle Alexander\alexaky01,23,2,0,6.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0
20,KZ Okpala\okpalkz01,20,5,0,5.2,0.6,1.0,.600,0.0,0.2,.000,0.6,0.8,.750,.600,0.2,0.4,.500,0.2,0.8,1.0,0.2,0.4,0.2,0.2,0.4,1.4
21,Daryl Macon\maconda01,24,4,0,3.5,0.3,0.8,.333,0.3,0.5,.500,0.0,0.3,.000,.500,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.8
