Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Kyrie Irving\irvinky01,27,20,20,32.9,10.0,20.8,.478,2.8,7.1,.394,7.2,13.7,.522,.546,4.7,5.1,.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4
2,Spencer Dinwiddie\dinwisp01,26,64,49,31.2,6.6,16.0,.415,1.9,6.3,.308,4.7,9.7,.485,.476,5.4,7.0,.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6
3,Joe Harris\harrijo01,28,69,69,30.8,5.5,11.4,.486,2.5,5.9,.424,3.0,5.5,.553,.596,0.9,1.3,.719,0.9,3.4,4.3,2.1,0.6,0.2,1.5,2.3,14.5
4,Caris LeVert\leverca01,25,45,31,29.6,6.9,16.3,.425,1.8,4.9,.364,5.1,11.4,.451,.480,3.1,4.4,.711,1.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,18.7
5,Taurean Prince\princta02,25,64,61,29.0,4.3,11.5,.376,2.3,6.7,.339,2.1,4.8,.429,.475,1.1,1.4,.798,0.8,5.2,6.0,1.8,0.9,0.4,2.0,2.5,12.1
6,Garrett Temple\templga01,33,62,35,27.9,3.6,9.5,.378,2.0,6.2,.329,1.5,3.2,.473,.486,1.1,1.4,.805,0.5,3.0,3.5,2.5,0.8,0.5,1.0,1.7,10.3
7,Jarrett Allen\allenja01,21,70,64,26.5,4.3,6.6,.649,0.0,0.1,.000,4.3,6.6,.658,.649,2.4,3.9,.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1
8,Tyler Johnson\johnsty01,27,8,4,24.3,4.0,9.9,.405,1.8,4.5,.389,2.3,5.4,.419,.494,2.3,2.3,1.000,1.0,2.0,3.0,3.0,0.5,0.1,0.6,1.9,12.0
9,DeAndre Jordan\jordade01,31,56,6,22.0,3.4,5.1,.666,0.0,0.0,,3.4,5.1,.666,.666,1.5,2.2,.680,2.5,7.5,10.0,1.9,0.3,0.9,1.3,2.0,8.3
10,Wilson Chandler\chandwi01,32,35,3,21.0,2.1,5.2,.404,1.1,3.5,.306,1.1,1.8,.597,.505,0.6,0.7,.870,0.3,3.8,4.1,1.1,0.5,0.3,1.0,2.3,5.9
11,Iman Shumpert\shumpim01,29,13,0,18.5,1.6,4.9,.328,0.6,2.5,.242,1.0,2.4,.419,.391,0.3,0.5,.571,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6,4.2
12,Timothé Luwawu-Cabarrot\luwawti01,24,47,2,18.1,2.5,5.7,.435,1.3,3.4,.388,1.2,2.3,.505,.550,1.5,1.7,.852,0.6,2.1,2.7,0.6,0.4,0.1,0.8,2.3,7.8
13,Donta Hall\halldo01,22,5,0,17.0,2.8,3.6,.778,0.0,0.0,,2.8,3.6,.778,.778,1.0,2.4,.417,1.6,3.0,4.6,0.4,0.4,1.0,0.6,2.8,6.6
14,Chris Chiozza\chiozch01,24,18,2,15.4,2.5,5.9,.425,1.1,3.1,.357,1.4,2.8,.500,.519,0.3,0.3,1.000,0.5,1.6,2.1,3.1,0.6,0.1,1.3,1.4,6.4
15,Rodions Kurucs\kurucro01,21,47,9,14.6,1.7,3.8,.446,0.7,1.9,.367,1.0,1.9,.529,.540,0.5,0.8,.632,0.5,2.4,2.9,1.1,0.5,0.1,1.0,1.9,4.6
16,Lance Thomas\thomala01,31,7,4,14.0,1.1,3.3,.348,0.6,1.9,.308,0.6,1.4,.400,.435,0.6,0.6,1.000,0.3,1.6,1.9,0.9,0.0,0.0,0.9,1.6,3.4
17,David Nwaba\nwabada01,27,20,0,13.4,1.9,3.6,.521,0.6,1.4,.429,1.3,2.2,.581,.606,0.9,1.4,.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2
18,Nicolas Claxton\claxtni01,20,15,0,12.5,1.8,3.2,.563,0.1,0.5,.143,1.7,2.7,.634,.573,0.7,1.4,.524,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9,4.4
19,Džanan Musa\musadz01,20,40,0,12.2,1.6,4.3,.372,0.5,2.0,.244,1.1,2.4,.479,.427,1.1,1.5,.750,0.5,1.6,2.2,1.1,0.4,0.0,0.9,0.8,4.8
20,Theo Pinson\pinsoth01,24,33,0,11.1,1.4,4.7,.290,0.5,2.4,.188,0.9,2.3,.400,.339,0.5,0.5,.938,0.3,1.3,1.6,1.7,0.5,0.1,1.0,1.1,3.6
21,Jeremiah Martin\martije02,23,9,0,11.0,2.7,5.9,.453,0.6,2.0,.278,2.1,3.9,.543,.500,1.2,1.6,.786,0.1,1.0,1.1,2.0,0.8,0.2,0.4,0.8,7.1
22,Justin Anderson\anderju01,26,10,1,10.7,1.0,3.8,.263,0.6,2.9,.207,0.4,0.9,.444,.342,0.2,0.4,.500,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8
23,Jamal Crawford\crawfja01,39,1,0,6.0,2.0,4.0,.500,1.0,2.0,.500,1.0,2.0,.500,.625,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0
24,Henry Ellenson\ellenhe01,23,5,0,3.0,0.2,1.4,.143,0.0,0.8,.000,0.2,0.6,.333,.143,0.0,0.0,,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,0.4
