Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,T.J. Warren\warretj01,26,67,67,2202,534,997,.536,91,226,.403,443,771,.575,.581,167,204,.819,68,212,280,99,78,34,84,187,1326
2,Domantas Sabonis\sabondo01,23,62,62,2159,458,848,.540,17,67,.254,441,781,.565,.550,214,296,.723,189,582,771,310,47,30,170,195,1147
3,Justin Holiday\holidju01,30,73,6,1826,208,486,.428,134,331,.405,74,155,.477,.566,53,67,.791,32,206,238,93,87,46,44,137,603
4,Myles Turner\turnemy01,23,62,62,1826,268,587,.457,86,250,.344,182,337,.540,.530,127,169,.751,86,321,407,72,46,132,85,166,749
5,Malcolm Brogdon\brogdma01,27,54,54,1666,326,744,.438,75,230,.326,251,514,.488,.489,166,186,.892,46,216,262,381,35,10,131,98,893
6,Aaron Holiday\holidaa01,23,66,33,1617,233,563,.414,87,221,.394,146,342,.427,.491,74,87,.851,22,134,156,225,55,16,88,120,627
7,Doug McDermott\mcderdo01,28,69,0,1372,267,547,.488,128,294,.435,139,253,.549,.605,48,58,.828,26,148,174,78,12,5,42,117,710
8,T.J. McConnell\mccontj01,27,71,3,1326,212,411,.516,5,17,.294,207,394,.525,.522,35,42,.833,38,151,189,355,56,11,100,73,464
9,Jeremy Lamb\lambje01,27,46,42,1291,216,479,.451,53,158,.335,163,321,.508,.506,92,110,.836,24,176,200,96,55,22,50,104,577
10,Victor Oladipo\oladivi01,27,19,16,528,97,246,.394,33,104,.317,64,142,.451,.461,48,59,.814,9,66,75,56,17,4,47,36,275
11,Goga Bitadze\bitadgo01,20,54,2,471,70,150,.467,8,42,.190,62,108,.574,.493,24,33,.727,25,81,106,23,10,37,28,65,172
12,JaKarr Sampson\sampsja02,26,34,12,471,68,115,.591,2,13,.154,66,102,.647,.600,18,27,.667,20,68,88,21,16,12,15,64,156
13,Edmond Sumner\sumneed01,24,31,3,447,61,142,.430,14,53,.264,47,89,.528,.479,16,29,.552,11,35,46,55,15,9,22,44,152
14,T.J. Leaf\leaftj01,22,28,1,222,36,86,.419,5,18,.278,31,68,.456,.448,7,16,.438,23,48,71,9,10,4,8,22,84
15,Alize Johnson\johnsal02,23,17,1,118,12,29,.414,3,8,.375,9,21,.429,.466,7,10,.700,16,32,48,7,3,2,7,12,34
16,Naz Mitrou-Long\mitrona01,26,5,0,47,6,17,.353,2,12,.167,4,5,.800,.412,0,0,,0,7,7,8,1,1,3,2,14
17,Brian Bowen\bowenbr02,21,6,1,31,3,10,.300,0,2,.000,3,8,.375,.300,0,0,,1,6,7,0,0,1,1,3,6
,Team Totals,,73,,17620,3075,6457,.476,743,2046,.363,2332,4411,.529,.534,1096,1393,.787,636,2489,3125,1888,543,376,967,1445,7989
