Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Kyle Lowry\lowryky01,33,58,58,36.2,5.8,13.8,.416,2.8,8.0,.352,2.9,5.8,.504,.518,5.1,5.9,.857,0.6,4.5,5.0,7.5,1.4,0.4,3.1,3.3,19.4
2,Fred VanVleet\vanvlfr01,25,54,54,35.7,5.9,14.3,.413,2.7,6.9,.390,3.2,7.4,.434,.507,3.1,3.7,.848,0.3,3.4,3.8,6.6,1.9,0.3,2.2,2.4,17.6
3,Pascal Siakam\siakapa01,25,60,60,35.2,8.3,18.4,.453,2.2,6.1,.359,6.2,12.3,.499,.512,4.0,5.1,.792,1.1,6.3,7.3,3.5,1.0,0.9,2.5,2.8,22.9
4,OG Anunoby\anunoog01,22,69,68,29.9,4.1,8.2,.505,1.3,3.3,.390,2.9,4.9,.583,.584,1.0,1.5,.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6
5,Norman Powell\powelno01,26,52,26,28.4,5.7,11.5,.495,2.1,5.3,.399,3.6,6.3,.575,.586,2.5,2.9,.843,0.5,3.2,3.7,1.8,1.2,0.4,1.5,2.1,16.0
6,Serge Ibaka\ibakase01,30,55,27,27.0,6.2,12.2,.512,1.3,3.3,.385,5.0,8.9,.559,.564,1.6,2.3,.718,2.1,6.1,8.2,1.4,0.5,0.8,2.0,2.8,15.4
7,Marc Gasol\gasolma01,35,44,43,26.4,2.7,6.3,.427,1.3,3.4,.385,1.4,3.0,.473,.529,0.8,1.1,.735,0.7,5.5,6.3,3.3,0.8,0.9,1.3,2.8,7.5
8,Patrick McCaw\mccawpa01,24,37,12,24.5,1.8,4.4,.414,0.6,1.9,.324,1.2,2.5,.484,.485,0.4,0.5,.722,0.5,1.8,2.3,2.1,1.1,0.1,0.8,1.6,4.6
9,Rondae Hollis-Jefferson\holliro01,25,60,6,18.7,2.6,5.5,.471,0.1,0.4,.130,2.5,5.1,.497,.476,1.8,2.4,.734,1.8,2.9,4.7,1.8,0.8,0.4,1.0,1.9,7.0
10,Terence Davis\daviste02,22,72,4,16.8,2.8,6.1,.456,1.3,3.4,.388,1.5,2.7,.541,.564,0.7,0.8,.864,0.7,2.6,3.3,1.6,0.5,0.2,1.1,1.7,7.5
11,Chris Boucher\bouchch01,27,62,0,13.2,2.3,4.8,.472,0.6,1.9,.322,1.7,2.9,.569,.535,1.5,1.9,.784,1.7,2.7,4.5,0.4,0.4,1.0,0.5,1.8,6.6
12,Matt Thomas\thomama02,25,41,1,10.7,1.8,3.7,.487,1.1,2.4,.475,0.6,1.2,.510,.643,0.2,0.3,.750,0.2,1.3,1.5,0.5,0.2,0.0,0.4,0.9,4.9
13,Paul Watson\watsopa01,25,8,0,8.8,1.3,2.4,.526,0.5,1.1,.444,0.8,1.3,.600,.632,0.9,1.1,.778,0.3,1.6,1.9,0.6,0.4,0.1,0.4,0.5,3.9
14,Oshae Brissett\brissos01,21,19,0,7.1,0.7,1.9,.361,0.2,0.8,.200,0.5,1.1,.476,.403,0.4,0.5,.800,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9
15,Stanley Johnson\johnsst04,23,25,0,6.0,0.9,2.4,.373,0.3,1.0,.292,0.6,1.4,.429,.432,0.4,0.6,.563,0.3,1.2,1.5,0.8,0.2,0.2,0.6,0.6,2.4
16,Malcolm Miller\millema01,26,28,1,5.8,0.4,1.0,.414,0.3,0.8,.364,0.1,0.3,.571,.552,0.1,0.3,.375,0.1,0.5,0.6,0.4,0.2,0.1,0.1,0.6,1.3
17,Dewan Hernandez\hernade01,23,6,0,4.7,0.8,2.3,.357,0.2,0.3,.500,0.7,2.0,.333,.393,0.5,0.8,.600,0.8,1.5,2.3,0.5,0.2,0.0,0.5,1.0,2.3
18,Shamorie Ponds\pondssh01,21,4,0,2.8,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.5,0.5,1.000,0.0,0.3,0.3,0.5,0.0,0.3,0.0,0.5,2.3
