Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,DeMar DeRozan\derozde01,30,68,68,34.1,8.2,15.4,.531,0.1,0.5,.257,8.1,14.9,.540,.535,5.6,6.6,.845,0.6,4.9,5.5,5.6,1.0,0.3,2.4,2.6,22.1
2,LaMarcus Aldridge\aldrila01,34,53,53,33.1,7.4,15.0,.493,1.2,3.0,.389,6.2,12.0,.519,.532,3.0,3.6,.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9
3,Dejounte Murray\murrade01,23,66,58,25.6,4.5,9.7,.462,0.6,1.7,.369,3.8,8.0,.481,.494,1.4,1.7,.798,1.0,4.8,5.8,4.1,1.7,0.3,1.9,2.2,10.9
4,Bryn Forbes\forbebr01,26,63,62,25.1,3.8,9.2,.417,2.3,6.0,.388,1.5,3.2,.470,.544,1.2,1.4,.833,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2
5,Derrick White\whitede01,25,68,20,24.7,3.7,8.1,.458,1.2,3.2,.366,2.6,4.9,.518,.530,2.6,3.1,.853,0.5,2.8,3.3,3.5,0.6,0.9,1.3,2.2,11.3
6,Patty Mills\millspa02,31,66,1,22.5,3.9,9.1,.431,2.3,6.1,.382,1.6,3.0,.533,.560,1.5,1.7,.866,0.3,1.3,1.6,1.8,0.8,0.1,0.8,1.6,11.6
7,Rudy Gay\gayru01,33,67,5,21.8,4.0,8.9,.446,1.1,3.3,.336,2.9,5.6,.511,.508,1.8,2.0,.882,0.9,4.5,5.4,1.7,0.5,0.5,1.3,1.5,10.8
8,Trey Lyles\lylestr01,24,63,53,20.2,2.4,5.4,.446,1.0,2.7,.387,1.4,2.8,.503,.541,0.5,0.7,.733,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4
9,Keldon Johnson\johnske04,20,17,1,17.7,3.1,5.2,.596,0.8,1.3,.591,2.4,3.9,.597,.669,2.1,2.6,.795,0.6,2.8,3.4,0.9,0.8,0.1,0.8,1.6,9.1
10,Jakob Poeltl\poeltja01,24,66,18,17.7,2.5,4.0,.624,0.0,0.0,,2.5,4.0,.624,.624,0.6,1.3,.465,2.0,3.7,5.7,1.8,0.6,1.4,0.8,1.9,5.6
11,Lonnie Walker\walkelo01,21,61,12,16.2,2.5,5.9,.426,0.7,1.7,.406,1.8,4.2,.434,.483,0.7,1.0,.721,0.4,1.9,2.3,1.1,0.5,0.2,0.7,1.3,6.4
12,Luka Šamanić\samanlu01,20,3,1,16.0,1.7,5.3,.313,1.0,2.7,.375,0.7,2.7,.250,.406,1.0,1.3,.750,0.3,3.0,3.3,2.0,0.0,0.7,0.7,2.0,5.3
13,Marco Belinelli\belinma01,33,57,0,15.5,2.2,5.5,.392,1.2,3.1,.376,1.0,2.4,.412,.498,0.8,1.0,.828,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8,6.3
14,Drew Eubanks\eubandr01,22,22,3,12.4,2.0,3.0,.642,0.0,0.0,1.000,1.9,3.0,.636,.649,0.9,1.2,.769,1.3,2.6,3.9,0.7,0.2,0.8,1.0,1.7,4.9
15,DeMarre Carroll\carrode01,33,15,0,9.0,0.6,1.9,.310,0.2,0.9,.231,0.4,1.1,.375,.362,0.8,1.3,.600,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3,2.2
16,Quinndary Weatherspoon\weathqu01,23,11,0,7.1,0.5,1.5,.294,0.1,0.5,.200,0.4,1.1,.333,.324,0.1,0.2,.500,0.1,0.5,0.6,1.0,0.3,0.1,0.5,0.7,1.1
17,Chimezie Metu\metuch01,22,18,0,5.8,1.3,2.3,.571,0.0,0.1,.000,1.3,2.2,.600,.571,0.6,0.7,.769,0.7,1.2,1.8,0.6,0.2,0.3,0.6,0.4,3.2
18,Tyler Zeller\zellety01,30,2,0,2.0,0.5,2.0,.250,0.0,0.0,,0.5,2.0,.250,.250,0.0,0.0,,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0
