Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Andrew Wiggins\wiggian01,24,12,12,33.6,7.2,15.7,.457,1.7,4.9,.339,5.5,10.8,.512,.511,3.4,5.1,.672,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,19.4
2,D'Angelo Russell\russeda01,23,33,33,32.1,8.3,19.2,.430,3.6,9.7,.374,4.6,9.5,.487,.524,3.4,4.4,.785,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6
3,Glenn Robinson\robingl02,26,48,48,31.6,5.1,10.6,.481,1.4,3.5,.400,3.7,7.0,.522,.548,1.3,1.5,.851,1.4,3.3,4.7,1.8,0.9,0.3,1.0,1.7,12.9
4,Mychal Mulder\muldemy01,25,7,3,29.1,3.7,9.6,.388,2.3,7.4,.308,1.4,2.1,.667,.507,1.3,1.7,.750,0.4,2.9,3.3,1.1,0.3,0.1,0.7,2.9,11.0
5,Alec Burks\burksal01,28,48,18,29.0,5.1,12.5,.406,1.8,4.7,.375,3.3,7.9,.424,.476,4.2,4.7,.897,0.8,3.9,4.7,3.1,1.0,0.4,1.6,2.2,16.1
6,Damion Lee\leeda03,27,49,36,29.0,4.3,10.4,.417,1.7,4.9,.356,2.6,5.6,.471,.500,2.2,2.6,.873,0.7,4.2,4.9,2.7,1.0,0.1,1.4,2.4,12.7
7,Draymond Green\greendr01,29,43,43,28.4,2.9,7.3,.389,0.8,3.0,.279,2.0,4.3,.465,.446,1.5,1.9,.759,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8.0
8,Stephen Curry\curryst01,31,5,5,27.8,6.6,16.4,.402,2.4,9.8,.245,4.2,6.6,.636,.476,5.2,5.2,1.000,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8
9,Eric Paschall\pascher01,23,60,26,27.6,5.3,10.7,.497,0.6,2.2,.287,4.7,8.5,.550,.526,2.7,3.5,.774,1.4,3.2,4.6,2.1,0.5,0.2,1.6,2.1,14.0
10,Willie Cauley-Stein\caulewi01,26,41,37,22.9,3.5,6.3,.560,0.0,0.0,,3.5,6.3,.560,.560,0.9,1.4,.614,1.7,4.5,6.2,1.5,1.1,1.2,0.9,2.5,7.9
11,Ky Bowman\bowmaky01,22,45,12,22.6,3.0,7.1,.417,0.7,2.4,.308,2.2,4.8,.472,.469,0.8,0.9,.829,0.5,2.2,2.7,2.9,1.0,0.2,1.6,2.3,7.4
12,Jordan Poole\poolejo01,20,57,14,22.4,2.9,8.8,.333,1.3,4.6,.279,1.6,4.2,.392,.406,1.7,2.1,.798,0.2,1.9,2.1,2.4,0.6,0.2,1.3,1.6,8.8
13,Dragan Bender\bendedr01,22,9,3,21.7,3.4,7.9,.437,1.2,3.8,.324,2.2,4.1,.541,.514,0.9,1.2,.727,1.8,4.1,5.9,2.1,0.4,0.4,1.8,2.9,9.0
14,Juan Toscano-Anderson\toscaju01,26,13,6,20.9,2.2,4.8,.460,0.6,1.8,.348,1.6,3.1,.525,.524,0.2,0.4,.600,0.7,3.3,4.0,2.0,1.0,0.4,1.2,2.3,5.3
15,Marquese Chriss\chrisma01,22,59,21,20.3,3.6,6.5,.545,0.1,0.7,.205,3.4,5.9,.584,.556,2.0,2.6,.769,1.9,4.3,6.2,1.9,0.7,1.1,1.3,2.1,9.3
16,Omari Spellman\spellom01,22,49,3,18.1,2.6,6.0,.431,0.9,2.2,.391,1.7,3.8,.454,.503,1.5,1.9,.793,1.6,2.9,4.5,1.0,0.7,0.5,1.1,1.3,7.6
17,Jacob Evans\evansja02,22,27,1,15.3,1.7,4.9,.338,0.5,1.4,.342,1.2,3.5,.337,.387,0.9,1.1,.862,0.3,1.2,1.5,1.1,0.4,0.4,0.9,1.5,4.7
18,Jeremy Pargo\pargoje01,33,3,0,14.7,3.7,7.3,.500,1.0,2.3,.429,2.7,5.0,.533,.568,0.0,0.3,.000,0.3,0.7,1.0,2.7,0.3,0.0,1.3,2.7,8.3
19,Chasson Randle\randlch01,26,3,0,13.3,0.0,1.3,.000,0.0,0.7,.000,0.0,0.7,.000,.000,1.7,2.0,.833,0.0,0.7,0.7,1.7,0.7,0.0,0.0,1.0,1.7
20,Kevon Looney\looneke01,23,20,4,13.1,1.5,4.0,.367,0.1,0.7,.071,1.4,3.3,.431,.373,0.5,0.6,.750,1.4,1.9,3.3,1.0,0.6,0.3,0.6,1.7,3.4
21,Zach Norvell\norveza01,22,3,0,12.0,1.0,3.7,.273,1.0,2.7,.375,0.0,1.0,.000,.409,0.3,0.3,1.000,0.0,1.7,1.7,1.0,0.7,0.0,1.0,1.3,3.3
22,Alen Smailagić\smailal01,19,14,0,9.9,1.4,2.9,.500,0.2,0.9,.231,1.2,1.9,.630,.538,1.1,1.4,.842,0.7,1.2,1.9,0.9,0.2,0.3,0.8,1.0,4.2
